stage,precision,recall,f1,tp,fp,fn,init_windows,det_windows,overlap_threshold
euclidean,0.22857142857142856,0.3418803418803419,0.27397260273972607,40,135,77,287,175,0.5
autoencoder,0.1848341232227488,0.33620689655172414,0.23853211009174313,39,172,77,287,211,0.5
dbscan,0.2127659574468085,0.3418803418803419,0.26229508196721313,40,148,77,287,188,0.5
fused,0.21739130434782608,0.3418803418803419,0.26578073089701,40,144,77,287,184,0.5
