node,node_idx,win_start,win_end,duration,start_time,end_time
YARN6----hyg-gx-0161.odata.ncmp.unicom.local,7,334,335,1,1751499600000,1751500740000
YARN6----hyg-gx-0180.odata.ncmp.unicom.local,8,618,619,1,1751670000000,1751671140000
YARN6----hyg-gx-0180.odata.ncmp.unicom.local,8,907,908,1,1751843400000,1751844540000
YARN6----hyg-gx-0180.odata.ncmp.unicom.local,8,1119,1120,1,1751970600000,1751971740000
YARN6----hyg-gx-0229.odata.ncmp.unicom.local,9,334,335,1,1751499600000,1751500740000
YARN6----hyg-gx-0239.odata.ncmp.unicom.local,10,441,442,1,1751563800000,1751564940000
YARN6----hyg-gx-0239.odata.ncmp.unicom.local,10,692,693,1,1751714400000,1751715540000
YARN6----hyg-gx-0239.odata.ncmp.unicom.local,10,721,722,1,1751731800000,1751732940000
YARN6----hyg-gx-0239.odata.ncmp.unicom.local,10,987,989,2,1751891400000,1751893140000
YARN6----hyg-gx-0239.odata.ncmp.unicom.local,10,1049,1051,2,1751928600000,1751930340000
YARN6----hyg-gx-0273.odata.ncmp.unicom.local,12,356,357,1,1751512800000,1751513940000
YARN6----hyg-gx-0273.odata.ncmp.unicom.local,12,874,876,2,1751823600000,1751825340000
YARN6----hyg-gx-0273.odata.ncmp.unicom.local,12,1024,1025,1,1751913600000,1751914740000
YARN6----hyg-gx-0303.odata.ncmp.unicom.local,13,384,385,1,1751529600000,1751530740000
YARN6----hyg-gx-0303.odata.ncmp.unicom.local,13,430,431,1,1751557200000,1751558340000
YARN6----hyg-gx-0303.odata.ncmp.unicom.local,13,493,494,1,1751595000000,1751596140000
YARN6----hyg-gx-0303.odata.ncmp.unicom.local,13,687,689,2,1751711400000,1751713140000
YARN6----hyg-gx-0303.odata.ncmp.unicom.local,13,868,869,1,1751820000000,1751821140000
YARN6----hyg-gx-0303.odata.ncmp.unicom.local,13,1047,1048,1,1751927400000,1751928540000
YARN6----hyg-gx-0303.odata.ncmp.unicom.local,13,1145,1146,1,1751986200000,1751987340000
YARN6----hyg-gx-0323.odata.ncmp.unicom.local,14,496,497,1,1751596800000,1751597940000
YARN6----hyg-gx-0323.odata.ncmp.unicom.local,14,736,737,1,1751740800000,1751741940000
YARN6----hyg-gx-0323.odata.ncmp.unicom.local,14,894,895,1,1751835600000,1751836740000
YARN6----hyg-gx-0323.odata.ncmp.unicom.local,14,1049,1051,2,1751928600000,1751930340000
YARN6----hyg-gx-0323.odata.ncmp.unicom.local,14,1131,1132,1,1751977800000,1751978940000
