node,node_idx,window_idx,score,threshold
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,485,0.10447284074822885,0.08470424070365742
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,489,0.11933479127283901,0.08466765833011257
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,490,0.17682446157135176,0.08466765833011257
YARN6----hyg-gx-0303.odata.ncmp.unicom.local,13,493,0.16548784260363328,0.08496322506925243
YARN6----hyg-gx-0323.odata.ncmp.unicom.local,14,496,0.10643922545275308,0.08500961839485618
YARN6----hyg-gx-0229.odata.ncmp.unicom.local,9,504,0.0870375462028528,0.08467104440058618
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,505,0.4291890370877011,0.08467104440058618
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,506,0.3439962438711532,0.08467104440058618
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,507,0.44058025462120054,0.08467104440058618
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,508,0.2843219997441126,0.08667990368170773
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,509,0.28968200091056523,0.08667990368170773
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,510,0.40204764819991684,0.08667990368170773
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,511,0.2853867348965692,0.08789178238956291
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,515,0.41704644229749,0.08825623285299859
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,516,0.42110800751402505,0.08825623285299859
YARN6----hyg-gx-0041.odata.ncmp.unicom.local,2,525,0.10505792118832737,0.0881163837101603
YARN6----hyg-gx-0121.odata.ncmp.unicom.local,5,529,0.10362200257818846,0.08806557987003115
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,550,0.40272224030602466,0.08640433395180117
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,551,0.3412658421841396,0.08688722331258798
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,552,0.16825362289887835,0.08688722331258798
